OfficialCode,ProgramId,ProgramName
P5D0-TN3,298,Ph.D. (Pharmaceutical Chemistry) [Part Time Mode]
P5D0-TN6,300,Ph.D. (Pharmacognosy) [Part Time Mode]
P5D0-TN8,289,Ph.D. (Ayurvedic Pharmacy) [Part Time Mode]
P5D0-TNB,743,Ph.D. (Pharmaceutical Analysis) [Part Time Mode]
P5D0-TND,732,Ph.D. (Pharmacy Practice) [Part Time Mode]
P5D2,404,Ph.D. (Physiotherapy) [Full Time Mode]
P5D2-T,405,Ph.D. (Physiotherapy) [Part Time Mode]
P5D4,430,Ph.D. (Clinical Microbiology) [Full Time Mode]
P5D4-T,431,Ph.D. (Clinical Microbiology) [Part Time Mode]
P5D5,433,Ph.D. (Clinical Biochemistry) [Full Time Mode]
P5D5-T,432,Ph.D. (Clinical Biochemistry) [Part Time Mode]
P5D8,892,Ph.D. (Clinical Embryology) [Full Time Mode]
P5K0-NNKA,1079,Pharm.D (Doctor of Pharmacy) <i>in tie up with</i><b> Capitol Hospital Jalandhar</b>
P622,41,B.Sc. Health and Physical Education
P625,434,Bachelor of Physical Education and Sports (BPES)
P661,378,M.A. Education
P6A1,124,B.Ed. (Bachelor of Education)
P6A2,168,B.P.Ed. (Bachelor of Physical Education)
P6B2,169,M.P.Ed. (Master of Physical Education)
P6D1,235,Ph.D. (Education) [Full Time Mode]
P6D1-T,236,Ph.D. (Education) [Part Time Mode]
P6D2,237,Ph.D. (Physical Education) [Full Time Mode]
P6D2-T,238,Ph.D. (Physical Education) [Part Time Mode]
P701,3,Diploma Architectural Assistantship (DAA)
P722-LNF,869,B.Sc. Fashion Design [Lateral Entry]
P722-LNJ,867,B.Sc. Interior and Furniture Design [Lateral Entry]
P722-NNF,856,B.Sc. Fashion Design
P722-NNG,865,B.Sc. Gaming Design
P722-NNH,866,B.Sc. Graphics Design
P722-NNJ,854,B.Sc. Interior and Furniture Design
P722-NNL,857,B.Sc. Animation and VFX Design
P724,32,B.A. Journalism and Mass Communication
P727,314,B.Sc. Film and TV Production
P741,15,B.Architecture (Bachelor of Architecture)
P742-LN1,668,B.Design Interior and Furniture [Lateral Entry]
P742-LN2,322,B.Design Product and Industrial [Lateral Entry]
P742-LN3,190,B.Design Fashion [Lateral Entry]
P742-LNM,868,B.Design User Interface/ User Experience (UI/UX) [Lateral Entry]
P742-NN1,26,B.Design Interior and Furniture
P742-NN2,25,B.Design Product and Industrial
P742-NN3,24,B.Design Fashion
P742-NN5,29,B.Design Graphics
P742-NN6,30,B.Design Film and TV Production
P742-NN8,498,B.Design Gaming
P742-NNL,858,B.Design Animation and VFX
P742-NNM,855,B.Design User interface/ User Experience (UI/UX)
P742-YN3,719,B.Design Fashion [2+2 with International Credit Transfer Option]
P762-NNF,859,M.Sc. Fashion Design
P762-NNJ,860,M.Sc. Interior and Furniture Design
P762-NNL,863,M.Sc. Animation and VFX Design
P762-NNM,870,M.Sc. UI/UX Design
P762-NNP,981,Master of Fashion Management (MFM)
P764,149,M.A. Journalism and Mass Communication
P767,148,M.Sc. Film and TV Production
P772-NN1,146,M.Design Interior and Furniture
P793-ND2,946,Integrated B.Tech. - M.Tech. (Urban and Regional Planning)
P7D1,527,Ph.D. (Architecture) [Full Time Mode]
P7D1-T,531,Ph.D. (Architecture) [Part Time Mode]
P7D2-NN1,809,Ph.D. (Interior and Furniture Design) [Full Time Mode]
P7D2-NN2,811,Ph.D. (Product and Industrial Design) [Full Time Mode]
P7D2-NN3,807,Ph.D. (Fashion) [Full Time Mode]
P7D2-NN6,816,Ph.D. (Film and TV Production) [Full Time Mode]
P7D2-NN9,813,Ph.D. (User Experience) [Full Time Mode]
P7D2-TN1,810,Ph.D. (Interior and Furniture Design) [Part Time Mode]
P7D2-TN2,812,Ph.D. (Product and Industrial Design) [Part Time Mode]
P7D2-TN3,808,Ph.D. (Fashion) [Part Time Mode]
P7D2-TN6,817,Ph.D. (Film and TV Production) [Part Time Mode]
P7D2-TN9,814,Ph.D. (User Experience) [Part Time Mode]
P7D3,330,Ph.D. (Planning) [Full time mode]
P7D3-T,329,Ph.D. (Planning) [Part Time Mode]
P7D4,276,Ph.D. (Journalism and Mass Communication) [Full Time Mode]
P7D4-T,277,Ph.D. (Journalism and Mass Communication) [Part Time Mode]
