official_code,eligibility_base,row_label
P344-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),Bachelor of Hotel Mgt and Catering Technology (BHMCT) [Lateral Entry]
P325-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),"B.Sc. (Airlines, Tourism and Hospitality) [Lateral Entry]"
P722-LNJ,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Interior and Furniture Design) [Lateral Entry]
P742-LN1,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Design (Interior and Furniture) [Lateral Entry]
P742-LN2,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Design (Product and Industrial) [Lateral Entry]
P742-LNM,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Design (UI/UX) [Lateral Entry]
P722-LNF,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Fashion Design) [Lateral Entry]
P742-LN3,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Design (Fashion) [Lateral Entry]
P540-LNN-D,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Pharm. [Lateral Entry]
P542-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),BPT [Lateral Entry]
P521-L,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Medical Lab Technology) [Lateral Entry]
P521-LN5,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Optometry) [Lateral Entry]
P521-LN6,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Anaesthesia and Operation Theatre Technology) [Lateral Entry]
P521-LNC,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Medical Radiology and Imaging Technology) [Lateral Entry]
P521-LN7,Lateral Entry/Other Programmes(After 3 yrs. Diploma),B.Sc. (Cardiovascular Technology) [Lateral Entry]
P371-NNAF,After Graduation,MBA/ MBA [ 1+1 with international credit transfer option]
P371-YNAF,After Graduation,MBA/ MBA [ 1+1 with international credit transfer option]
P370-NN2F,After Graduation,MBA (International Business)
P370-NN3F,After Graduation,MBA (Hospital and Healthcare Management)
P370-NNAF,After Graduation,MBA (Digital and Social Media Marketing)
P370-NNBF,After Graduation,MBA (Business Analytics)
P370-NN7F,After Graduation,MBA (Supply Chain and Logistics)
P370-NN6F,After Graduation,MBA (Financial Markets)
P370-NNAB,After Graduation,MBA (Data Science and Artificial Intelligence)
P370-NNZ,After Graduation,MBA (Fintech and Artificial Intelligence)
P362,After Graduation,M.Com.
