Programme Name,Programme Code,Matched Bucket,Dates
Ph.D. (Bioinformatics) [Full Time],P2DL,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Bioinformatics) [Part Time],P2DL-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Microbiology) [Full Time],P2D3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Microbiology) [Part Time],P2D3-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Biochemistry) [Full Time],P2D7,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Biochemistry) [Part Time],P2D7-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Botany) [Full Time],P2D1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Botany) [Part Time],P2D1-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Forensic Sciences) [Full Time],P2DG,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Forensic Sciences) [Part Time],P2DG-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Zoology) [Full Time],P2D2,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Zoology) [Part Time],P2D2-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Chemistry) [Full Time],P2D6,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Chemistry) [Part Time],P2D6-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Physics) [Full Time],P2D8,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Physics) [Part Time],P2D8-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Mathematics) [Full Time],P2D9,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Mathematics) [Part Time],P2D9-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Statistics) [Full Time],P2DK,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Statistics) [Part Time],P2DK-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Management) [Full Time],P3D1,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Management) [Part Time],P3D1-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D.(Commerce) [Full Time],P3D2,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D.(Commerce) [Part Time],P3D2-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Economics) [Full Time],P3D3,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Economics) [Part Time],P3D3-T,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
Ph.D. (Hotel Management) [Full Time],P3D4,Ph.D.,"{""Online Registration starts on"": ""4th May 2026 onwards"", ""Last date of Registration"": ""30th June 2026\n5th July 2026"", ""Dates of Entrance Test"": ""10th & 12th July 2026"", ""Result of LPUNEST (Ph.D.)"": ""15th July 2026"", ""Interview Slot Booking"": ""15th - 17th July 2026"", ""Interview schedule"": ""20th - 26th July 2026"", ""Result of Interview"": ""30th July 2026"", ""Last Date of Admission"": ""10th August 2026\n20th August 2026"", ""Note: last date to take admission in Agriculture discipline is 10th August 2026."": """", ""l"": """"}"
